Movie ID,Total word count,Verb Count,Noun Count,Adjective Count,Adverb Count,Pronoun Count
tt5834204,52186,5853,8436,4248,3251,4514
tt5834262,41700,3990,7038,3222,2316,3372
tt5834426,79503,8916,12522,5983,4977,7961
tt5843876,30626,3177,4833,2646,2030,3472
tt5848272,70491,7498,11549,5194,4187,6847
tt5853176,23667,2542,3586,1955,1342,2259
tt5859882,60379,5522,9622,4950,2957,4746
tt5862902,34254,3486,5688,2616,1836,2826
tt5865326,69375,7395,11325,5430,4170,6105
tt5883570,59214,5960,10064,4722,3182,5716
tt5884004,72540,7488,12528,4620,3672,7488
tt5884052,91589,8963,13946,7987,5713,8554
tt5886046,34915,3813,6192,2613,1867,3025
tt5891122,69440,7240,12940,6240,3480,6660
tt5897636,36564,3503,6135,2669,1345,2680
tt5907916,14120,1580,2060,840,720,1320
tt5910344,20780,2098,3498,1664,1156,2164
tt5910786,46601,5793,6620,3021,2931,5498
tt5913798,23112,2597,4087,1592,1294,2351
tt5918982,47483,5453,7722,3346,2789,5106
tt5919756,39004,4448,6127,3217,2538,3373
tt5922124,52560,6100,8560,4040,2480,4961
tt5923012,82652,8433,13714,7341,4705,7421
tt5923026,14631,1563,2522,1160,828,1195
tt5926990,30500,3040,4820,2700,1840,2900
tt5929754,149114,16522,24452,10131,8561,13729
tt5932368,36078,4162,6247,3054,2075,3282
tt5936866,55600,5895,9548,4735,3072,5784
tt5938084,73073,6692,13995,6034,3913,5479
tt5938950,45479,4573,7529,3720,2659,4919
tt5941692,65932,7305,10867,4508,2954,5323
tt5942864,98313,10531,17237,7737,4826,8582
tt5952138,49947,4949,8223,4324,2646,4514
tt5952594,53472,5106,9323,3972,2424,3978
tt5960374,160907,16330,29226,11994,8731,13340
tt5968394,30384,3106,5375,2449,1660,2416
tt5974030,79616,7360,11232,5568,4592,7408
tt5974402,30180,3040,5560,2580,1460,2040
tt5977276,91269,9182,15579,7369,4650,6160
tt5981304,8700,860,1580,600,400,680
tt5989218,43992,4844,6696,3136,2362,5321
tt5989220,30560,3060,4300,2220,1720,3140
tt5991974,6349,654,1097,455,277,523
tt5999530,14464,1514,2729,1385,892,1105
tt6010628,35202,3534,5610,2904,2148,3186
tt6012380,23618,2240,3957,1933,1397,2423
tt6014904,49472,5960,8208,3376,2504,5080
tt6016744,28780,2822,5162,2669,1477,2224
tt6017756,71852,6835,12038,6744,3874,5908
tt6026818,17631,1946,2841,1510,977,1851
tt6028620,56180,5560,10800,4760,2780,4480
tt6029778,80601,8573,15074,6923,3834,6234
tt6032328,46930,4601,8458,3679,2406,3206
tt6040662,58772,5876,9939,4799,3256,4564
tt6043072,37940,3780,6132,2982,1876,3892
tt6043142,19151,1857,3336,1855,1056,1650
tt6046314,63436,6126,11075,4779,3378,4795
tt6048922,37277,3516,6804,2823,1978,3087
tt6053438,81560,8460,12780,6180,4470,6900
tt6060444,43500,4740,7752,3960,2040,3936
tt6061074,9876,1208,1541,711,590,1039
tt6062774,100134,10053,18397,7407,5244,7607
tt6063050,46104,5724,6324,2772,2526,6156
tt6063090,33900,3781,5533,2340,2061,3534
tt6079516,98225,11458,16013,6873,6736,10999
tt6079772,92476,8224,13901,7171,5531,7542
tt6084202,40700,4166,7133,3405,2552,3427
tt6095472,30411,2840,5132,2710,1925,2250
tt6101602,41629,4427,7078,3202,2112,4230
tt6101820,8842,768,1524,799,489,686
tt6105098,92829,8463,13223,7400,6059,7483
tt6107548,38816,3512,6424,3480,2040,3120
tt6108178,50001,4817,8412,4174,2860,4181
tt6111574,68390,7110,11141,4583,4086,6466
tt6119856,25597,2662,3720,1984,1728,2627
tt6127004,61455,6174,10499,5013,3885,5053
tt6133466,41624,4640,6976,3720,2680,3672
tt6139732,89580,8773,12721,7362,5671,7584
tt6141246,112155,11713,19701,8920,5723,8616
tt6142496,32013,3390,4760,2454,2011,3871
tt6146586,72091,6596,12284,5598,4312,5236
tt6147512,5248,688,880,360,200,544
tt6149154,55407,5422,9389,4563,3058,4498
tt6150942,43680,4400,7500,3880,2700,3600
tt6152554,49218,5811,7774,3055,2535,4940
tt6155172,52944,5250,8826,4530,2982,4519
tt6160448,118345,12365,18749,9437,7204,11715
tt6169694,71851,8658,10838,5868,4321,7438
tt6173484,18360,1920,2898,1470,954,1668
tt6182908,97354,9587,16860,8106,6037,6874
tt6186232,23700,2160,3740,1880,1600,2360
tt6189022,30678,2886,4662,1962,1758,2268
tt6190348,49085,5211,8805,4358,2578,4833
tt6193408,121989,12121,19856,9583,7597,10147
tt6193522,25645,2928,4479,1986,1176,2205
tt6196936,65297,6966,11007,5141,3876,5898
tt6198946,38552,3906,6908,3556,2500,3344
tt6199572,62201,6166,9687,4598,3175,5692
tt6205872,139380,15600,24980,11020,7460,12700
tt6207878,6771,560,1230,627,258,402
tt6211976,87337,9006,14869,6687,5213,8832
